XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
3,JINPAO,JP2101-20161225206,3.0,8331203104800300,PC,34.61
3,JINPAO,JP2101-20161225206,4.0,8331203104800400,PC,34.61
3,JINPAO,JP2101-20161225206,5.0,8331203104800500,PC,34.61
3,JINPAO,JP2101-20161225206,6.0,8331203104800600,PC,34.61
3,JINPAO,JP2101-20161225206,7.0,8331203104800700,PC,28.36
3,JINPAO,JP2101-20161225206,8.0,8331203104800800,PC,28.36
3,JINPAO,JP2101-20161225206,9.0,8331203104800900,PC,28.36
3,JINPAO,JP2101-20161225206,10.0,8331203104801000,PC,26.55
3,JINPAO,JP2101-20161225206,11.0,8331203104801100,PC,26.55
3,JINPAO,JP2101-20161225206,12.0,8331203104801200,PC,26.55
3,JINPAO,JP2101-20161225206,13.0,8331203104801300,PC,37.65
3,JINPAO,JP2101-20161225207,1.0,8331203104900100,PC,21.28
3,JINPAO,JP2101-20161225207,2.0,8331203104900200,PC,34.61
3,JINPAO,JP2101-20161225207,3.0,8331203104900300,PC,34.61
3,JINPAO,JP2101-20161225207,4.0,8331203104900400,PC,34.61
3,JINPAO,JP2101-20161225207,5.0,8331203104900500,PC,34.61
3,JINPAO,JP2101-20161225207,6.0,8331203104900600,PC,34.61
3,JINPAO,JP2101-20161225207,7.0,8331203104900700,PC,28.36
3,JINPAO,JP2101-20161225207,8.0,8331203104900800,PC,28.36
3,JINPAO,JP2101-20161225207,9.0,8331203104900900,PC,28.36
3,JINPAO,JP2101-20161225207,10.0,8331203104901000,PC,26.55
3,JINPAO,JP2101-20161225207,11.0,8331203104901100,PC,26.55
3,JINPAO,JP2101-20161225207,12.0,8331203104901200,PC,26.55
3,JINPAO,JP2101-20161225207,13.0,8331203104901300,PC,37.65
3,JINPAO,JP2101-20161225208,1.0,8331203105000100,PC,21.22
3,JINPAO,JP2101-20161225208,2.0,8331203105000200,PC,34.79
3,JINPAO,JP2101-20161225208,3.0,8331203105000300,PC,34.79
3,JINPAO,JP2101-20161225208,4.0,8331203105000400,PC,34.79
3,JINPAO,JP2101-20161225208,5.0,8331203105000500,PC,34.79
3,JINPAO,JP2101-20161225208,6.0,8331203105000600,PC,34.79
3,JINPAO,JP2101-20161225208,7.0,8331203105000700,PC,28.24
3,JINPAO,JP2101-20161225208,8.0,8331203105000800,PC,28.24
3,JINPAO,JP2101-20161225208,9.0,8331203105000900,PC,28.24
3,JINPAO,JP2101-20161225208,10.0,8331203105001000,PC,26.49
3,JINPAO,JP2101-20161225208,11.0,8331203105001100,PC,26.49
3,JINPAO,JP2101-20161225208,12.0,8331203105001200,PC,26.49
3,JINPAO,JP2101-20161225208,13.0,8331203105001300,PC,38.8
3,JINPAO,JP2101-20161225209,1.0,8331203105100100,PC,21.22
3,JINPAO,JP2101-20161225209,2.0,8331203105100200,PC,34.79
3,JINPAO,JP2101-20161225209,3.0,8331203105100300,PC,34.79
3,JINPAO,JP2101-20161225209,4.0,8331203105100400,PC,34.79
3,JINPAO,JP2101-20161225209,5.0,8331203105100500,PC,34.79
3,JINPAO,JP2101-20161225209,6.0,8331203105100600,PC,34.79
3,JINPAO,JP2101-20161225209,7.0,8331203105100700,PC,28.24
3,JINPAO,JP2101-20161225209,8.0,8331203105100800,PC,28.24
3,JINPAO,JP2101-20161225209,9.0,8331203105100900,PC,28.24
3,JINPAO,JP2101-20161225209,10.0,8331203105101000,PC,26.49
3,JINPAO,JP2101-20161225209,11.0,8331203105101100,PC,26.49
3,JINPAO,JP2101-20161225209,12.0,8331203105101200,PC,26.49
3,JINPAO,JP2101-20161225209,13.0,8331203105101300,PC,38.8
3,JINPAO,JP2101-20161225047,26.0,8331202102802600,PC,32.31
3,JINPAO,JP2101-20161225047,27.0,8331202102802700,PC,32.31
3,JINPAO,JP2101-20161225085,9.0,8331202102300900,PC,28.66
3,JINPAO,JP2101-20161225047,28.0,8331202102802800,PC,32.31
3,JINPAO,JP2101-20161225049,1.0,8331202103000100,PC,39.9
3,JINPAO,JP2101-20161225049,2.0,8331202103000200,PC,39.9
3,JINPAO,JP2101-20161225049,3.0,8331202103000300,PC,39.9
3,JINPAO,JP2101-20161225049,4.0,8331202103000400,PC,39.9
3,JINPAO,JP2101-20161225049,5.0,8331202103000500,PC,39.9
3,JINPAO,JP2101-20161225049,6.0,8331202103000600,PC,37.36
3,JINPAO,JP2101-20161225049,7.0,8331202103000700,PC,37.36
3,JINPAO,JP2101-20161225049,8.0,8331202103000800,PC,37.36
3,JINPAO,JP2101-20161225049,9.0,8331202103000900,PC,37.36
3,JINPAO,JP2101-20161225049,10.0,8331202103001000,PC,37.36
3,JINPAO,JP2101-20161225049,11.0,8331202103001100,PC,31.22
3,JINPAO,JP2101-20161225049,12.0,8331202103001200,PC,31.22
3,JINPAO,JP2101-20161225085,10.0,8331202102301000,PC,28.66
3,JINPAO,JP2101-20161225049,13.0,8331202103001300,PC,31.22
3,JINPAO,JP2101-20161225049,14.0,8331202103001400,PC,31.22
3,JINPAO,JP2101-20161225049,15.0,8331202103001500,PC,31.22
3,JINPAO,JP2101-20161225049,16.0,8331202103001600,PC,28.98
3,JINPAO,JP2101-20161225049,17.0,8331202103001700,PC,28.98
3,JINPAO,JP2101-20161225049,18.0,8331202103001800,PC,44.77
3,JINPAO,JP2101-20161225049,19.0,8331202103001900,PC,36.21
3,JINPAO,JP2101-20161225049,20.0,8331202103002000,PC,36.21
3,JINPAO,JP2101-20161225049,21.0,8331202103002100,PC,36.21
3,JINPAO,JP2101-20161225049,22.0,8331202103002200,PC,36.21
3,JINPAO,JP2101-20161225049,23.0,8331202103002300,PC,36.21
3,JINPAO,JP2101-20161225049,24.0,8331202103002400,PC,31.83
3,JINPAO,JP2101-20161225049,25.0,8331202103002500,PC,31.83
3,JINPAO,JP2101-20161225085,11.0,8331202102301100,PC,28.66
3,JINPAO,JP2101-20161225073,1.0,8331202103000100,PC,39.9
3,JINPAO,JP2101-20161225073,2.0,8331202103000200,PC,0.0
3,JINPAO,JP2101-20161225073,3.0,8331202103000300,PC,0.0
3,JINPAO,JP2101-20161225073,4.0,8331202103000400,PC,0.0
3,JINPAO,JP2101-20161225073,5.0,8331202103000500,PC,0.0
3,JINPAO,JP2101-20161225073,6.0,8331202103000600,PC,0.0
3,JINPAO,JP2101-20161225073,7.0,8331202103000700,PC,0.0
3,JINPAO,JP2101-20161225073,8.0,8331202103000800,PC,0.0
3,JINPAO,JP2101-20161225073,9.0,8331202103000900,PC,0.0
3,JINPAO,JP2101-20161225073,10.0,8331202103001000,PC,0.0
3,JINPAO,JP2101-20161225073,11.0,8331202103001100,PC,0.0
3,JINPAO,JP2101-20161225073,12.0,8331202103001200,PC,0.0
3,JINPAO,JP2101-20161225073,13.0,8331202103001300,PC,0.0
3,JINPAO,JP2101-20161225085,12.0,8331202102301200,PC,36.8
3,JINPAO,JP2101-20161225073,14.0,8331202103001400,PC,0.0
3,JINPAO,JP2101-20161225073,15.0,8331202103001500,PC,0.0
3,JINPAO,JP2101-20161225073,16.0,8331202103001600,PC,0.0
3,JINPAO,JP2101-20161225073,17.0,8331202103001700,PC,0.0
3,JINPAO,JP2101-20161225073,18.0,8331202103001800,PC,0.0
3,JINPAO,JP2101-20161225073,19.0,8331202103001900,PC,0.0
3,JINPAO,JP2101-20161225073,20.0,8331202103002000,PC,0.0
3,JINPAO,JP2101-20161225073,21.0,8331202103002100,PC,0.0
3,JINPAO,JP2101-20161225073,22.0,8331202103002200,PC,0.0
3,JINPAO,JP2101-20161225073,23.0,8331202103002300,PC,0.0
3,JINPAO,JP2101-20161225073,24.0,8331202103002400,PC,0.0
3,JINPAO,JP2101-20161225073,25.0,8331202103002500,PC,0.0
3,JINPAO,JP2101-20161225073,26.0,8331202103002600,PC,0.0
3,JINPAO,JP2101-20161225085,13.0,8331202102301300,PC,36.8
3,JINPAO,JP2101-20161225085,14.0,8331202102301400,PC,36.8
3,JINPAO,JP2101-20161225085,15.0,8331202102301500,PC,24.95
3,JINPAO,JP2101-20161225085,16.0,8331202102301600,PC,24.95
3,JINPAO,JP2101-20161225085,17.0,8331202102301700,PC,24.95
3,JINPAO,JP2101-20161225085,18.0,8331202102301800,PC,24.95
3,JINPAO,JP2101-20161225085,19.0,8331202102301900,PC,24.95
3,JINPAO,JP2101-20161225086,13.0,8331202102501300,PC,39.84
3,JINPAO,JP2101-20161225086,14.0,8331202102501400,PC,39.84
3,JINPAO,JP2101-20161225086,15.0,8331202102501500,PC,25.31
3,JINPAO,JP2101-20161225086,16.0,8331202102501600,PC,25.31
3,JINPAO,JP2101-20161225086,17.0,8331202102501700,PC,25.31
3,JINPAO,JP2101-20161225086,18.0,8331202102501800,PC,25.31
3,JINPAO,JP2101-20161225086,19.0,8331202102501900,PC,25.31
3,JINPAO,JP2101-20161225073,27.0,8331202103002700,PC,0.0
3,JINPAO,JP2101-20161225073,28.0,8331202103002800,PC,0.0
3,JINPAO,JP2101-20161225086,1.0,8331202102500100,PC,21.66
3,JINPAO,JP2101-20161225086,2.0,8331202102500200,PC,29.03
3,JINPAO,JP2101-20161225086,3.0,8331202102500300,PC,29.03
3,JINPAO,JP2101-20161225086,4.0,8331202102500400,PC,29.03
3,JINPAO,JP2101-20161225086,5.0,8331202102500500,PC,29.03
3,JINPAO,JP2101-20161225086,6.0,8331202102500600,PC,29.03
3,JINPAO,JP2101-20161225086,7.0,8331202102500700,PC,29.15
3,JINPAO,JP2101-20161225086,8.0,8331202102500800,PC,29.15
3,JINPAO,JP2101-20161225086,9.0,8331202102500900,PC,29.15
3,JINPAO,JP2101-20161225086,10.0,8331202102501000,PC,29.15
3,JINPAO,JP2101-20161225086,11.0,8331202102501100,PC,29.15
3,JINPAO,JP2101-20161225086,12.0,8331202102501200,PC,39.84
3,JINPAO,JP2101-20161225074,1.0,8331202102800100,PC,40.87
3,JINPAO,JP2101-20161225087,4.0,8331202102200400,PC,31.04
3,JINPAO,JP2101-20161225087,5.0,8331202102200500,PC,31.04
3,JINPAO,JP2101-20161225087,6.0,8331202102200600,PC,31.04
3,JINPAO,JP2101-20161225087,7.0,8331202102200700,PC,31.34
3,JINPAO,JP2101-20161225087,8.0,8331202102200800,PC,31.34
3,JINPAO,JP2101-20161225087,9.0,8331202102200900,PC,31.34
3,JINPAO,JP2101-20161225087,10.0,8331202102201000,PC,31.34
3,JINPAO,JP2101-20161225087,11.0,8331202102201100,PC,31.34
3,JINPAO,JP2101-20161225087,12.0,8331202102201200,PC,40.33
3,JINPAO,JP2101-20161225087,13.0,8331202102201300,PC,40.33
3,JINPAO,JP2101-20161225087,14.0,8331202102201400,PC,40.33
3,JINPAO,JP2101-20161225087,15.0,8331202102201500,PC,26.71
3,JINPAO,JP2101-20161225087,16.0,8331202102201600,PC,26.71
3,JINPAO,JP2101-20161225074,2.0,8331202102800200,PC,0.0
3,JINPAO,JP2101-20161225088,11.0,8331202102401100,PC,28.66
3,JINPAO,JP2101-20161225088,12.0,8331202102401200,PC,36.8
3,JINPAO,JP2101-20161225088,13.0,8331202102401300,PC,36.8
3,JINPAO,JP2101-20161225088,14.0,8331202102401400,PC,36.8
3,JINPAO,JP2101-20161225088,15.0,8331202102401500,PC,24.95
3,JINPAO,JP2101-20161225088,16.0,8331202102401600,PC,24.95
3,JINPAO,JP2101-20161225088,17.0,8331202102401700,PC,24.95
3,JINPAO,JP2101-20161225088,18.0,8331202102401800,PC,24.95
3,JINPAO,JP2101-20161225088,19.0,8331202102401900,PC,24.95
3,JINPAO,JP2101-20161225044,1.0,8021202300600000,PC,34.15
3,JINPAO,JP2101-20161225045,1.0,8021202300700000,PC,66.76
3,JINPAO,JP2101-20161225047,1.0,8331202102800100,PC,40.87
3,JINPAO,JP2101-20161225047,2.0,8331202102800200,PC,40.87
3,JINPAO,JP2101-20161225074,3.0,8331202102800300,PC,0.0
3,JINPAO,JP2101-20161225087,17.0,8331202102201700,PC,26.71
3,JINPAO,JP2101-20161225087,18.0,8331202102201800,PC,26.71
3,JINPAO,JP2101-20161225087,19.0,8331202102201900,PC,26.71
3,JINPAO,JP2101-20161225088,1.0,8331202102400100,PC,21.42
3,JINPAO,JP2101-20161225088,2.0,8331202102400200,PC,28.48
3,JINPAO,JP2101-20161225088,3.0,8331202102400300,PC,28.48
3,JINPAO,JP2101-20161225088,4.0,8331202102400400,PC,28.48
3,JINPAO,JP2101-20161225088,5.0,8331202102400500,PC,28.48
3,JINPAO,JP2101-20161225088,6.0,8331202102400600,PC,28.48
3,JINPAO,JP2101-20161225088,7.0,8331202102400700,PC,28.66
3,JINPAO,JP2101-20161225088,8.0,8331202102400800,PC,28.66
3,JINPAO,JP2101-20161225088,9.0,8331202102400900,PC,28.66
3,JINPAO,JP2101-20161225088,10.0,8331202102401000,PC,28.66
3,JINPAO,JP2101-20161225074,4.0,8331202102800400,PC,0.0
3,JINPAO,JP2101-20161225074,5.0,8331202102800500,PC,0.0
3,JINPAO,JP2101-20161225074,6.0,8331202102800600,PC,0.0
3,JINPAO,JP2101-20161225074,7.0,8331202102800700,PC,0.0
3,JINPAO,JP2101-20161225074,8.0,8331202102800800,PC,0.0
3,JINPAO,JP2101-20161225074,9.0,8331202102800900,PC,0.0
3,JINPAO,JP2101-20161225074,10.0,8331202102801000,PC,0.0
3,JINPAO,JP2101-20161225074,11.0,8331202102801100,PC,0.0
3,JINPAO,JP2101-20161225074,12.0,8331202102801200,PC,0.0
3,JINPAO,JP2101-20161225074,13.0,8331202102801300,PC,0.0
3,JINPAO,JP2101-20161225074,14.0,8331202102801400,PC,0.0
3,JINPAO,JP2101-20161225074,15.0,8331202102801500,PC,0.0
3,JINPAO,JP2101-20161225074,16.0,8331202102801600,PC,0.0
3,JINPAO,JP2101-20161225074,17.0,8331202102801800,PC,0.0
3,JINPAO,JP2101-20161225074,18.0,8331202102801900,PC,0.0
3,JINPAO,JP2101-20161225074,19.0,8331202102802000,PC,0.0
3,JINPAO,JP2101-20161225074,20.0,8331202102802100,PC,0.0
3,JINPAO,JP2101-20161225074,21.0,8331202102802200,PC,0.0
3,JINPAO,JP2101-20161225074,22.0,8331202102802300,PC,0.0
3,JINPAO,JP2101-20161225074,23.0,8331202102802400,PC,0.0
3,JINPAO,JP2101-20161225074,24.0,8331202102802500,PC,0.0
3,JINPAO,JP2101-20161225074,25.0,8331202102802600,PC,0.0
3,JINPAO,JP2101-20161225074,26.0,8331202102802700,PC,0.0
3,JINPAO,JP2101-20161225074,27.0,8331202102802800,PC,0.0
3,JINPAO,JP2101-20161225074,28.0,8331202102801700,PC,29.35
3,JINPAO,JP2101-20161225087,1.0,8331202102200100,PC,22.33
3,JINPAO,JP2101-20161225087,2.0,8331202102200200,PC,31.04
3,JINPAO,JP2101-20161225087,3.0,8331202102200300,PC,31.04
3,JINPAO,JP2101-20161225075,1.0,8331202103100100,PC,37.83
3,JINPAO,JP2101-20161225075,2.0,8331202103100200,PC,42.6
3,JINPAO,JP2101-20161225075,3.0,8331202103100300,PC,31.76
3,JINPAO,JP2101-20161225075,4.0,8331202103100400,PC,37.89
3,JINPAO,JP2101-20161225075,5.0,8331202103100500,PC,32.61
3,JINPAO,JP2101-20161225075,6.0,8331202103100600,PC,28.72
3,JINPAO,JP2101-20161225076,1.0,8331202102600100,PC,21.66
3,JINPAO,JP2101-20161225076,2.0,8331202102600200,PC,29.03
3,JINPAO,JP2101-20161225076,3.0,8331202102600300,PC,29.03
3,JINPAO,JP2101-20161225076,4.0,8331202102600400,PC,29.03
3,JINPAO,JP2101-20161225076,5.0,8331202102600500,PC,29.03
3,JINPAO,JP2101-20161225076,6.0,8331202102600600,PC,29.03
3,JINPAO,JP2101-20161225076,7.0,8331202102600700,PC,29.15
3,JINPAO,JP2101-20161225076,8.0,8331202102600800,PC,29.15
3,JINPAO,JP2101-20161225076,9.0,8331202102600900,PC,29.15
3,JINPAO,JP2101-20161225076,10.0,8331202102601000,PC,29.15
3,JINPAO,JP2101-20161225076,11.0,8331202102601100,PC,29.15
3,JINPAO,JP2101-20161225076,12.0,8331202102601200,PC,39.84
3,JINPAO,JP2101-20161225076,13.0,8331202102601300,PC,39.84
3,JINPAO,JP2101-20161225076,14.0,8331202102601400,PC,39.84
3,JINPAO,JP2101-20161225076,15.0,8331202102601500,PC,25.31
3,JINPAO,JP2101-20161225076,16.0,8331202102601600,PC,25.31
3,JINPAO,JP2101-20161225076,17.0,8331202102601700,PC,25.31
3,JINPAO,JP2101-20161225076,18.0,8331202102601800,PC,25.31
3,JINPAO,JP2101-20161225076,19.0,8331202102601900,PC,25.31
3,JINPAO,JP2101-20161225077,1.0,8331202102700100,PC,40.87
3,JINPAO,JP2101-20161225077,2.0,8331202102700200,PC,40.87
3,JINPAO,JP2101-20161225077,3.0,8331202102700300,PC,40.87
3,JINPAO,JP2101-20161225077,4.0,8331202102700400,PC,40.87
3,JINPAO,JP2101-20161225077,5.0,8331202102700500,PC,40.87
3,JINPAO,JP2101-20161225077,6.0,8331202102700600,PC,38.58
3,JINPAO,JP2101-20161225077,7.0,8331202102700700,PC,38.58
3,JINPAO,JP2101-20161225077,8.0,8331202102700800,PC,38.58
3,JINPAO,JP2101-20161225077,9.0,8331202102700900,PC,38.58
3,JINPAO,JP2101-20161225077,10.0,8331202102701000,PC,38.58
3,JINPAO,JP2101-20161225077,11.0,8331202102701100,PC,31.64
3,JINPAO,JP2101-20161225077,12.0,8331202102701200,PC,31.64
3,JINPAO,JP2101-20161225077,13.0,8331202102701300,PC,31.64
3,JINPAO,JP2101-20161225077,14.0,8331202102701400,PC,31.64
3,JINPAO,JP2101-20161225077,15.0,8331202102701500,PC,31.64
3,JINPAO,JP2101-20161225077,16.0,8331202102701600,PC,29.35
3,JINPAO,JP2101-20161225077,17.0,8331202102701700,PC,29.35
3,JINPAO,JP2101-20161224331,1.0,8021103390800001,PC,0.0
3,JINPAO,JP2101-20161224332,1.0,8021105100000003,SET,455.87
3,JINPAO,JP2101-20161223429,1.0,8331110104100100,PC,26.26
3,JINPAO,JP2101-20161223429,2.0,8331110104100200,PC,26.26
3,JINPAO,JP2101-20161223429,3.0,8331110104100300,PC,26.26
3,JINPAO,JP2101-20161223429,4.0,8331110104100400,PC,26.26
3,JINPAO,JP2101-20161223429,5.0,8331110104100500,PC,26.26
3,JINPAO,JP2101-20161223429,6.0,8331110104100600,PC,40.22
3,JINPAO,JP2101-20161223429,7.0,8331110104100700,PC,40.22
3,JINPAO,JP2101-20161224307,1.0,8021103113400000,PC,535.958
3,JINPAO,JP2101-20161224307,2.0,8021103113500000,PC,508.268
3,JINPAO,JP2101-20161224307,3.0,8021103108200000,PC,240.727
3,JINPAO,JP2101-20161223429,9.0,8331110104100900,PC,40.22
3,JINPAO,JP2101-20161224317,11.0,8021103187800001,PC,8.408
3,JINPAO,JP2101-20161224317,12.0,8021103191900001,PC,10.435
3,JINPAO,JP2101-20161224339,1.0,8021109402500000,PC,14.68
3,JINPAO,JP2101-20161224318,1.0,8021105407400000,PC,15.2
3,JINPAO,JP2101-20161224319,1.0,8021103321200000,PC,1.06
3,JINPAO,JP2101-20161224340,1.0,8021109402600000,PC,2.08
3,JINPAO,JP2101-20161224341,1.0,8021109402700000,PC,2.33
3,JINPAO,JP2101-20161224342,1.0,8021109101900000,PC,60.0
3,JINPAO,JP2101-20161224343,1.0,8021103073600000,PC,1.39
3,JINPAO,JP2101-20161224343,2.0,8021103092200000,PC,1.89
3,JINPAO,JP2101-20161224343,3.0,8021103123900001,PC,6.6
3,JINPAO,JP2101-20161224343,4.0,8021103121300001,PC,8.36
3,JINPAO,JP2101-20161224343,5.0,8021103137600001,PC,21.88
3,JINPAO,JP2101-20161224307,4.0,8021103108300000,PC,231.088
3,JINPAO,JP2101-20161224312,1.0,8021107206070000,PC,1.87
3,JINPAO,JP2101-20161224343,7.0,8021103122700001,PC,9.23
3,JINPAO,JP2101-20161224343,8.0,8021103110600001,PC,3.33
3,JINPAO,JP2101-20161224343,9.0,8021103122600001,PC,7.76
3,JINPAO,JP2101-20161224343,10.0,8021103074300001,PC,1.6
3,JINPAO,JP2101-20161224343,11.0,8021103074000001,PC,0.95
3,JINPAO,JP2101-20161224343,12.0,8021103091200000,PC,1.72
3,JINPAO,JP2101-20161224343,13.0,8021103071900000,PC,1.11
3,JINPAO,JP2101-20161224343,14.0,8021103105600000,PC,4.19
3,JINPAO,JP2101-20161224343,15.0,8021103117100000,PC,5.06
3,JINPAO,JP2101-20161224344,1.0,8021103139400001,PC,14.58
3,JINPAO,JP2101-20161224345,1.0,8021103138400000,PC,15.6
3,JINPAO,JP2101-20161224345,2.0,8021103138500000,PC,16.58
3,JINPAO,JP2101-20161224307,5.0,8021103123200000,PC,1007.585
3,JINPAO,JP2101-20161224307,6.0,8021103124300000,PC,816.75
3,JINPAO,JP2101-20161224307,7.0,8021103135800000,PC,64.156
3,JINPAO,JP2101-20161224307,8.0,8021103103300000,PC,50.572
3,JINPAO,JP2101-20161224307,9.0,8021103109900000,PC,50.572
3,JINPAO,JP2101-20161224307,10.0,8021103104400000,PC,39.201
3,JINPAO,JP2101-20161224307,11.0,8021103100800000,PC,39.201
3,JINPAO,JP2101-20161224307,12.0,8021103092700000,PC,73.213
3,JINPAO,JP2101-20161224307,13.0,8021103082900000,PC,68.112
3,JINPAO,JP2101-20161224307,14.0,8021103083000000,PC,67.928
3,JINPAO,JP2101-20161224307,15.0,8021103096100000,PC,33.814
3,JINPAO,JP2101-20161223434,7.0,8331110103900700,PC,33.18
3,JINPAO,JP2101-20161223434,16.0,8331110103901600,PC,25.43
3,JINPAO,JP2101-20161223434,24.0,8331110103902400,PC,28.5
3,JINPAO,JP2101-20161223434,25.0,8331110103902500,PC,28.5
3,JINPAO,JP2101-20161224309,3.0,8331110104100300,PC,26.26
3,JINPAO,JP2101-20161224309,10.0,8331110104101000,PC,40.22
3,JINPAO,JP2101-20161224309,19.0,8331110104101900,PC,43.08
3,JINPAO,JP2101-20161224309,23.0,8331110104102300,PC,39.06
3,JINPAO,JP2101-20161224309,29.0,8331110104102900,PC,32.64
3,JINPAO,JP2101-20161224309,34.0,8331110104103400,PC,30.9
3,JINPAO,JP2101-20161222077,12.0,8331110103801200,PC,28.01
3,JINPAO,JP2101-20161222077,17.0,8331110103801700,PC,25.43
3,JINPAO,JP2101-20161222077,25.0,8331110103802500,PC,28.5
3,JINPAO,JP2101-20161223691,3.0,8331110104200300,PC,26.26
3,JINPAO,JP2101-20161223691,4.0,8331110104200400,PC,26.26
3,JINPAO,JP2101-20161223691,5.0,8331110104200500,PC,26.26
3,JINPAO,JP2101-20161223691,6.0,8331110104200600,PC,40.22
3,JINPAO,JP2101-20161223691,7.0,8331110104200700,PC,40.22
3,JINPAO,JP2101-20161223691,11.0,8331110104201100,PC,26.32
3,JINPAO,JP2101-20161223691,15.0,8331110104201500,PC,42.74
3,JINPAO,JP2101-20161222068,5.0,8021110300900000,PC,6.05
3,JINPAO,JP2101-20161222069,1.0,8221108101400001,SET,16000.0
3,JINPAO,JP2101-20161222069,2.0,8221107100700001,SET,5000.0
3,JINPAO,JP2101-20161224599,5.0,8021111500500000,PC,28.83
3,JINPAO,JP2101-20161224599,6.0,8021111500600000,PC,22.04
3,JINPAO,JP2101-20161224599,7.0,8021111500700000,PC,59.45
3,JINPAO,JP2101-20161224599,8.0,8021111500800000,PC,5.33
3,JINPAO,JP2101-20161224599,9.0,8021111500900000,PC,13.19
3,JINPAO,JP2101-20161224587,1.0,8021103178600002,PC,1695.13
3,JINPAO,JP2101-20161224587,2.0,8021103132500002,PC,1919.53
3,JINPAO,JP2101-20161223624,1.0,8021103096200000,SET,225.0
3,JINPAO,JP2101-20161224125,1.0,8021109500500000,SET,15.0
3,JINPAO,JP2101-20161223691,23.0,8331110104202300,PC,39.06
3,JINPAO,JP2101-20161223691,24.0,8331110104202400,PC,39.06
3,JINPAO,JP2101-20161223691,25.0,8331110104202500,PC,39.06
3,JINPAO,JP2101-20161223691,26.0,8331110104202600,PC,39.06
3,JINPAO,JP2101-20161223691,27.0,8331110104202700,PC,39.06
3,JINPAO,JP2101-20161223691,28.0,8331110104202800,PC,32.64
3,JINPAO,JP2101-20161224405,1.0,8121103308700001,PC,85.0
3,JINPAO,JP2101-20161224405,2.0,8121108308300001,PC,270.0
3,JINPAO,JP2101-20161224405,3.0,8121108308200000,PC,148.0
3,JINPAO,JP2101-20161224405,4.0,8121108307800001,PC,19.0
3,JINPAO,JP2101-20161224405,5.0,8121109300500000,PC,73.0
3,JINPAO,JP2101-20161224405,6.0,8121109300600000,PC,1250.0
3,JINPAO,JP2101-20161224405,7.0,8121108306500000,PC,63.0
3,JINPAO,JP2101-20161224405,8.0,8121108306600000,PC,210.0
3,JINPAO,JP2101-20161224082,2.0,8021107300100002,PC,402.25
3,JINPAO,JP2101-20161224083,1.0,8331110100200100,PC,37.1
3,JINPAO,JP2101-20161224083,2.0,8331110100200200,PC,37.1
3,JINPAO,JP2101-20161224083,3.0,8331110100200300,PC,37.1
3,JINPAO,JP2101-20161224083,4.0,8331110100200400,PC,37.1
3,JINPAO,JP2101-20161224083,5.0,8331110100200500,PC,37.1
3,JINPAO,JP2101-20161224083,6.0,8331110100200600,PC,33.85
3,JINPAO,JP2101-20161224083,7.0,8331110100200700,PC,33.85
3,JINPAO,JP2101-20161224083,8.0,8331110100200800,PC,33.85
3,JINPAO,JP2101-20161224083,9.0,8331110100200900,PC,33.85
3,JINPAO,JP2101-20161224083,10.0,8331110100201000,PC,33.85
3,JINPAO,JP2101-20161224083,11.0,8331110100201100,PC,28.56
3,JINPAO,JP2101-20161224083,12.0,8331110100201200,PC,28.56
3,JINPAO,JP2101-20161224083,13.0,8331110100201300,PC,28.56
3,JINPAO,JP2101-20161224083,14.0,8331110100201400,PC,28.56
3,JINPAO,JP2101-20161224083,15.0,8331110100201500,PC,28.56
3,JINPAO,JP2101-20161224083,16.0,8331110100201600,PC,25.68
3,JINPAO,JP2101-20161224083,17.0,8331110100201700,PC,25.68
3,JINPAO,JP2101-20161224083,18.0,8331110100201800,PC,43.43
3,JINPAO,JP2101-20161224083,19.0,8331110100201900,PC,32.82
3,JINPAO,JP2101-20161224083,20.0,8331110100202000,PC,32.82
3,JINPAO,JP2101-20161224083,21.0,8331110100202100,PC,32.82
3,JINPAO,JP2101-20161224083,22.0,8331110100202200,PC,32.82
3,JINPAO,JP2101-20161224083,23.0,8331110100202300,PC,32.82
3,JINPAO,JP2101-20161224083,24.0,8331110100202400,PC,29.05
3,JINPAO,JP2101-20161224083,25.0,8331110100202500,PC,29.05
3,JINPAO,JP2101-20161224083,26.0,8331110100202600,PC,29.05
3,JINPAO,JP2101-20161224083,27.0,8331110100202700,PC,29.05
3,JINPAO,JP2101-20161224083,28.0,8331110100202800,PC,29.05
3,JINPAO,JP2101-20161224244,12.0,8021108405100000,PC,55.0
3,JINPAO,JP2101-20161224114,1.0,8021110105900000,PC,633.0
3,JINPAO,JP2101-20161224114,2.0,8021110106000000,PC,633.0
3,JINPAO,JP2101-20161224115,2.0,8321110102100000,PC,5187.89
3,JINPAO,JP2101-20161224115,3.0,8321110102200000,PC,36763.45
3,JINPAO,JP2101-20161224115,4.0,8321110102300000,PC,7306.77
3,JINPAO,JP2101-20161224115,5.0,8321110102400000,PC,40087.66
3,JINPAO,JP2101-20161224115,6.0,8321110102500000,PC,6966.99
3,JINPAO,JP2101-20161224115,7.0,8321110102600000,PC,42566.0
3,JINPAO,JP2101-20161224115,8.0,8321110102700000,PC,7186.11
3,JINPAO,JP2101-20161224115,9.0,8321110102800000,PC,41250.56
3,JINPAO,JP2101-20161224115,10.0,8321110102900000,PC,34039.31
3,JINPAO,JP2101-20161224115,11.0,8321110103000000,PC,5321.28
