XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
3,JINPAO,JP2101-20161224096,1.0,8021107302400000,PC,375.31
3,JINPAO,JP2101-20161224096,2.0,8021107304200000,PC,288.27
3,JINPAO,JP2101-20161224096,3.0,8021107301300000,PC,40.79
3,JINPAO,JP2101-20161224096,4.0,8021107304300000,PC,720.53
3,JINPAO,JP2101-20161224096,5.0,8021105300700000,PC,408.41
3,JINPAO,JP2101-20161224097,1.0,8021107301400000,PC,69.19
3,JINPAO,JP2101-20161224097,2.0,8021105301600000,PC,86.32
3,JINPAO,JP2101-20161224097,3.0,8021105301400000,PC,81.03
3,JINPAO,JP2101-20161224097,4.0,8021105301500000,PC,160.0
3,JINPAO,JP2101-20161224097,5.0,8021105302300000,PC,29.07
3,JINPAO,JP2101-20161224098,1.0,8021105301000000,PC,808.57
3,JINPAO,JP2101-20161224098,2.0,8021105301100000,PC,309.04
3,JINPAO,JP2101-20161224098,3.0,8021105301900000,PC,142.5
3,JINPAO,JP2101-20161224098,4.0,8021105301200000,PC,95.0
3,JINPAO,JP2101-20161224098,5.0,8021105300500000,PC,119.3
3,JINPAO,JP2101-20161224099,1.0,8021105302100000,PC,151.35
3,JINPAO,JP2101-20161224099,2.0,8021105300900000,PC,408.41
3,JINPAO,JP2101-20161224099,3.0,8021105301300000,PC,114.87
3,JINPAO,JP2101-20161224099,4.0,8021105302400000,PC,317.57
3,JINPAO,JP2101-20161224099,5.0,8021105301800000,PC,178.65
3,JINPAO,JP2101-20161224102,1.0,8021105300300000,PC,119.3
3,JINPAO,JP2101-20161224102,2.0,8021105302600000,PC,69.63
3,JINPAO,JP2101-20161224102,3.0,8021105302500000,PC,634.0
3,JINPAO,JP2101-20161224102,4.0,8021105302800000,PC,61.51
3,JINPAO,JP2101-20161224102,5.0,8021105300200000,PC,119.3
3,JINPAO,JP2101-20161224103,1.0,8021105304700000,PC,106.35
3,JINPAO,JP2101-20161224103,2.0,8021105305700000,PC,187.21
3,JINPAO,JP2101-20161224103,3.0,8021105304500000,PC,227.93
3,JINPAO,JP2101-20161224103,4.0,8021105305300000,PC,58.11
3,JINPAO,JP2101-20161224103,5.0,8021105304200000,PC,45.81
3,JINPAO,JP2101-20161224104,1.0,8021105305200000,PC,225.45
